"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가산면 가산리 1238",1,,경상북도 칠곡군 가산면 가산리 1238,36.041274,128.597444,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 166-2",1,,경상북도 칠곡군 가산면 가산리 166-2,36.056054,128.592317,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 181-2",1,,경상북도 칠곡군 가산면 가산리 181-2,36.056374,128.589544,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 246",1,,경상북도 칠곡군 가산면 가산리 246,36.058275,128.580467,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 251",1,,경상북도 칠곡군 가산면 가산리 251,36.058102,128.582619,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 260",1,,경상북도 칠곡군 가산면 가산리 260,36.058786,128.581093,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 273-1",1,,경상북도 칠곡군 가산면 가산리 273-1,36.057463,128.584357,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 297-1",1,,경상북도 칠곡군 가산면 가산리 297-1,36.057676,128.588732,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 304-1",1,,경상북도 칠곡군 가산면 가산리 304-1,36.057731,128.590298,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 328-3",1,,경상북도 칠곡군 가산면 가산리 328-3,36.056947,128.584709,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 364",1,,경상북도 칠곡군 가산면 가산리 364,36.056275,128.584027,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 367",1,,경상북도 칠곡군 가산면 가산리 367,36.055861,128.583779,,,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 395-6",1,,경상북도 칠곡군 가산면 가산리 395-6,36.056413,128.585337,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 402-5",1,경상북도 칠곡군 가산면 가산로1길 300-4,경상북도 칠곡군 가산면 가산리 402-5,36.056121,128.586057,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 425-1",1,,경상북도 칠곡군 가산면 가산리 425-1,36.056594,128.586882,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 432",1,,경상북도 칠곡군 가산면 가산리 432,36.056070,128.587266,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 552-3",1,,경상북도 칠곡군 가산면 가산리 552-3,36.054631,128.595658,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 561-3",1,,경상북도 칠곡군 가산면 가산리 561-3,36.051247,128.594778,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 564-1",1,,경상북도 칠곡군 가산면 가산리 564-1,36.051037,128.595320,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 564-5",1,,경상북도 칠곡군 가산면 가산리 564-5,36.050306,128.595492,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 568",1,경상북도 칠곡군 가산면 가산로 866-27,경상북도 칠곡군 가산면 가산리 568,36.049769,128.594722,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 600-2",1,,경상북도 칠곡군 가산면 가산리 600-2,36.050556,128.596004,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 641-4",1,,경상북도 칠곡군 가산면 가산리 641-4,36.049622,128.596985,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 655-1",1,,경상북도 칠곡군 가산면 가산리 655-1,36.047965,128.598671,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 673-2",1,,경상북도 칠곡군 가산면 가산리 673-2,36.044091,128.596377,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 680-1",1,,경상북도 칠곡군 가산면 가산리 680-1,36.043919,128.596709,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 944-4",1,,경상북도 칠곡군 가산면 가산리 944-4,36.043835,128.597241,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 951",1,,경상북도 칠곡군 가산면 가산리 951,36.042082,128.596240,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 95-4",1,,경상북도 칠곡군 가산면 가산리 95-4,36.056527,128.598614,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 993",1,,경상북도 칠곡군 가산면 가산리 993,36.042168,128.593566,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 산130",1,,경상북도 칠곡군 가산면 가산리 산130,36.053635,128.594840,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 산143",1,,경상북도 칠곡군 가산면 가산리 산143,36.058774,128.579827,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 10-1",1,,경상북도 칠곡군 가산면 금화리 10-1,36.075799,128.553151,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 118-5",1,,경상북도 칠곡군 가산면 금화리 118-5,36.075206,128.539069,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 121-2",1,,경상북도 칠곡군 가산면 금화리 121-2,36.073780,128.539426,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 158-7",1,,경상북도 칠곡군 가산면 금화리 158-7,36.066902,128.537680,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 164",1,,경상북도 칠곡군 가산면 금화리 164,36.065674,128.538127,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 168-15",1,,경상북도 칠곡군 가산면 금화리 168-15,36.066172,128.537742,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 172-2",1,,경상북도 칠곡군 가산면 금화리 172-2,36.065785,128.537673,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 173-5",1,,경상북도 칠곡군 가산면 금화리 173-5,36.065460,128.537681,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 178-2",1,,경상북도 칠곡군 가산면 금화리 178-2,36.064658,128.537632,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 181-2",1,,경상북도 칠곡군 가산면 금화리 181-2,36.064728,128.538087,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 184-1",1,경상북도 칠곡군 가산면 가산로 11,경상북도 칠곡군 가산면 금화리 184-1,36.064816,128.538610,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 187-3",1,,경상북도 칠곡군 가산면 금화리 187-3,36.064027,128.537638,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 212-2",1,,경상북도 칠곡군 가산면 금화리 212-2,36.064399,128.539239,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 221-3",1,,경상북도 칠곡군 가산면 금화리 221-3,36.064186,128.540337,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 245",1,,경상북도 칠곡군 가산면 금화리 245,36.064989,128.548169,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 248",1,,경상북도 칠곡군 가산면 금화리 248,36.065246,128.549136,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 250",1,,경상북도 칠곡군 가산면 금화리 250,36.066041,128.550674,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 251-3",1,,경상북도 칠곡군 가산면 금화리 251-3,36.066506,128.551421,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 256-5",1,,경상북도 칠곡군 가산면 금화리 256-5,36.066808,128.552466,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 270",1,,경상북도 칠곡군 가산면 금화리 270,36.066612,128.555895,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 292-2",1,,경상북도 칠곡군 가산면 금화리 292-2,36.064352,128.547398,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 358",1,,경상북도 칠곡군 가산면 금화리 358,36.059115,128.545608,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 376-1",1,,경상북도 칠곡군 가산면 금화리 376-1,36.055142,128.547201,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 379",1,,경상북도 칠곡군 가산면 금화리 379,36.054500,128.547741,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 427-2",1,경상북도 칠곡군 가산면 가산로 272-4,경상북도 칠곡군 가산면 금화리 427-2,36.052980,128.548940,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 430",1,,경상북도 칠곡군 가산면 금화리 430,36.052796,128.549693,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 432",1,경상북도 칠곡군 가산면 가산로 290-8,경상북도 칠곡군 가산면 금화리 432,36.051990,128.550531,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 433",1,경상북도 칠곡군 가산면 가산로 298,경상북도 칠곡군 가산면 금화리 433,36.051922,128.551718,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 439",1,,경상북도 칠곡군 가산면 금화리 439,36.066324,128.557592,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 447",1,,경상북도 칠곡군 가산면 금화리 447,36.051739,128.552283,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 90-1",1,,경상북도 칠곡군 가산면 금화리 90-1,36.074705,128.548048,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 산14-1",1,,경상북도 칠곡군 가산면 금화리 산14-1,36.075096,128.545408,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 산22-6",1,,경상북도 칠곡군 가산면 금화리 산22-6,36.064676,128.545724,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 산23-18",1,,경상북도 칠곡군 가산면 금화리 산23-18,36.064651,128.541262,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 산23-21",1,,경상북도 칠곡군 가산면 금화리 산23-21,36.064141,128.542268,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 산23-23",1,,경상북도 칠곡군 가산면 금화리 산23-23,36.063940,128.543055,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 산25-1",1,,경상북도 칠곡군 가산면 금화리 산25-1,36.062849,128.545079,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 산26-6",1,,경상북도 칠곡군 가산면 금화리 산26-6,36.061171,128.545389,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 산34-5",1,,경상북도 칠곡군 가산면 금화리 산34-5,36.058618,128.545904,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 금화리 산35-3",1,,경상북도 칠곡군 가산면 금화리 산35-3,36.057532,128.546840,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 15",1,,경상북도 칠곡군 가산면 다부리 15,36.056645,128.535668,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 255-3",1,,경상북도 칠곡군 가산면 다부리 255-3,36.047441,128.519823,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 255-7",1,,경상북도 칠곡군 가산면 다부리 255-7,36.048507,128.521251,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 257-2",1,,경상북도 칠곡군 가산면 다부리 257-2,36.047580,128.521045,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 263-1",1,,경상북도 칠곡군 가산면 다부리 263-1,36.046997,128.520464,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 276-2",1,,경상북도 칠곡군 가산면 다부리 276-2,36.047000,128.519554,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 30-2",1,,경상북도 칠곡군 가산면 다부리 30-2,36.057157,128.534017,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 329-2",1,경상북도 칠곡군 가산면 다부원2길 25,경상북도 칠곡군 가산면 다부리 329-2,36.046201,128.518838,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 329-23",1,,경상북도 칠곡군 가산면 다부리 329-23,36.045599,128.518501,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 329-7",1,경상북도 칠곡군 가산면 다부원2길 19,경상북도 칠곡군 가산면 다부리 329-7,36.045697,128.518735,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 334-1",1,,경상북도 칠곡군 가산면 다부리 334-1,36.046362,128.519283,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 335-12",1,경상북도 칠곡군 가산면 호국로 1496-6,경상북도 칠곡군 가산면 다부리 335-12,36.045729,128.519812,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 338-2",1,,경상북도 칠곡군 가산면 다부리 338-2,36.046044,128.519703,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 339-11",1,,경상북도 칠곡군 가산면 다부리 339-11,36.046062,128.519914,,,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 339-4",1,,경상북도 칠곡군 가산면 다부리 339-4,36.045854,128.520013,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 343-1",1,,경상북도 칠곡군 가산면 다부리 343-1,36.045290,128.521241,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 35-2",1,경상북도 칠곡군 가산면 진목정서길 20,경상북도 칠곡군 가산면 다부리 35-2,36.057240,128.533707,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 378-6",1,,경상북도 칠곡군 가산면 다부리 378-6,36.047813,128.521391,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 383-2",1,,경상북도 칠곡군 가산면 다부리 383-2,36.048982,128.521887,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 4-1",1,,경상북도 칠곡군 가산면 다부리 4-1,36.056594,128.537011,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 418-4",1,,경상북도 칠곡군 가산면 다부리 418-4,36.044764,128.523956,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 42",1,,경상북도 칠곡군 가산면 다부리 42,36.057395,128.533253,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 420-1",1,,경상북도 칠곡군 가산면 다부리 420-1,36.044829,128.523513,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 431-3",1,,경상북도 칠곡군 가산면 다부리 431-3,36.044697,128.522857,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 436-2",1,,경상북도 칠곡군 가산면 다부리 436-2,36.044087,128.522087,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 440-2",1,,경상북도 칠곡군 가산면 다부리 440-2,36.043883,128.521409,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 451-1",1,,경상북도 칠곡군 가산면 다부리 451-1,36.043343,128.521306,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 459",1,경상북도 칠곡군 가산면 다부거문1길 29,경상북도 칠곡군 가산면 다부리 459,36.042327,128.520744,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 463-3",1,,경상북도 칠곡군 가산면 다부리 463-3,36.042283,128.520333,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 465",1,,경상북도 칠곡군 가산면 다부리 465,36.042361,128.518946,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 470-5",1,,경상북도 칠곡군 가산면 다부리 470-5,36.042366,128.517981,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 487",1,,경상북도 칠곡군 가산면 다부리 487,36.042620,128.517594,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 50",1,,경상북도 칠곡군 가산면 다부리 50,36.057911,128.532724,,,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 505-2",1,,경상북도 칠곡군 가산면 다부리 505-2,36.041127,128.516774,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 537-5",1,,경상북도 칠곡군 가산면 다부리 537-5,36.041480,128.520516,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 538-1",1,,경상북도 칠곡군 가산면 다부리 538-1,36.041842,128.520264,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 550-1",1,,경상북도 칠곡군 가산면 다부리 550-1,36.041055,128.520869,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 55-2",1,,경상북도 칠곡군 가산면 다부리 55-2,36.058240,128.531871,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 55-2",1,,경상북도 칠곡군 가산면 다부리 55-2,36.058240,128.531871,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 559-4",1,,경상북도 칠곡군 가산면 다부리 559-4,36.039978,128.519941,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 56",1,,경상북도 칠곡군 가산면 다부리 56,36.059166,128.530213,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 579-1",1,,경상북도 칠곡군 가산면 다부리 579-1,36.039838,128.518930,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 583-1",1,,경상북도 칠곡군 가산면 다부리 583-1,36.038905,128.517947,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 584-2",1,,경상북도 칠곡군 가산면 다부리 584-2,36.038267,128.517344,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 584-2",1,,경상북도 칠곡군 가산면 다부리 584-2,36.038267,128.517344,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 61-1",1,,경상북도 칠곡군 가산면 다부리 61-1,36.059749,128.528907,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 62-1",1,,경상북도 칠곡군 가산면 다부리 62-1,36.060621,128.527314,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 65-1",1,,경상북도 칠곡군 가산면 다부리 65-1,36.055793,128.534741,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 700-3",1,,경상북도 칠곡군 가산면 다부리 700-3,36.035676,128.518381,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 704-7",1,,경상북도 칠곡군 가산면 다부리 704-7,36.035175,128.517556,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 706-4",1,,경상북도 칠곡군 가산면 다부리 706-4,36.033886,128.517703,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 72",1,,경상북도 칠곡군 가산면 다부리 72,36.056906,128.537756,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 725-3",1,,경상북도 칠곡군 가산면 다부리 725-3,36.036892,128.516425,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 731-3",1,,경상북도 칠곡군 가산면 다부리 731-3,36.036049,128.515476,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 734-1",1,,경상북도 칠곡군 가산면 다부리 734-1,36.035956,128.516285,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 738-6",1,,경상북도 칠곡군 가산면 다부리 738-6,36.034661,128.515445,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 742-6",1,,경상북도 칠곡군 가산면 다부리 742-6,36.035981,128.514688,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 744-5",1,,경상북도 칠곡군 가산면 다부리 744-5,36.035543,128.513808,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 758-3",1,,경상북도 칠곡군 가산면 다부리 758-3,36.034865,128.512106,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 763-1",1,,경상북도 칠곡군 가산면 다부리 763-1,36.034744,128.512915,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 765-1",1,,경상북도 칠곡군 가산면 다부리 765-1,36.034931,128.513438,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 773-4",1,,경상북도 칠곡군 가산면 다부리 773-4,36.035468,128.514496,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 777-2",1,,경상북도 칠곡군 가산면 다부리 777-2,36.035014,128.515214,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 788-2",1,,경상북도 칠곡군 가산면 다부리 788-2,36.034640,128.514146,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 791-2",1,,경상북도 칠곡군 가산면 다부리 791-2,36.034845,128.514725,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 807-7",1,,경상북도 칠곡군 가산면 다부리 807-7,36.034733,128.517542,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 852-2",1,,경상북도 칠곡군 가산면 다부리 852-2,36.035183,128.511509,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 854-3",1,,경상북도 칠곡군 가산면 다부리 854-3,36.034869,128.511163,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 856-1",1,,경상북도 칠곡군 가산면 다부리 856-1,36.034438,128.510760,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 857-6",1,,경상북도 칠곡군 가산면 다부리 857-6,36.034052,128.510458,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 858-1",1,,경상북도 칠곡군 가산면 다부리 858-1,36.033801,128.510090,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 859-1",1,,경상북도 칠곡군 가산면 다부리 859-1,36.033533,128.509623,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 882-8",1,,경상북도 칠곡군 가산면 다부리 882-8,36.056740,128.534714,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 88-3",1,,경상북도 칠곡군 가산면 다부리 88-3,36.055106,128.535191,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 89",1,경상북도 칠곡군 가산면 경북대로 1206-21,경상북도 칠곡군 가산면 다부리 89,36.055075,128.534048,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 897",1,,경상북도 칠곡군 가산면 다부리 897,36.045031,128.524679,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 908-2",1,,경상북도 칠곡군 가산면 다부리 908-2,36.046127,128.519315,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 908-8",1,,경상북도 칠곡군 가산면 다부리 908-8,36.045649,128.519456,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 923",1,,경상북도 칠곡군 가산면 다부리 923,36.042569,128.518948,,,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 939",1,,경상북도 칠곡군 가산면 다부리 939,36.035140,128.517256,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 다부리 산115-1",1,,경상북도 칠곡군 가산면 다부리 산115-1,36.033219,128.509177,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
